Zone 2: Zone 2
Weight;FedEx First Overnight;FedEx Priority Overnight;FedEx Standard Overnight;FedEx 2Day A.M.;FedEx 2Day;FedEx Express Saver;Ground and Home Delivery
Weight;FedEx First Overnight;FedEx Priority Overnight;FedEx Standard Overnight;FedEx 2Day A.M.;FedEx 2Day;FedEx Express Saver;Ground and Home Delivery
1;119.90;88.90;77.51;40.93;33.31;29.88;13.27
2;126.45;95.45;87.44;43.63;36.19;30.41;14.84
3;140.09;109.09;96.87;48.05;39.85;33.73;15.93
4;150.46;119.46;105.18;56.12;46.52;37.91;16.81
5;151.53;120.53;115.43;62.31;51.70;39.46;17.56
6;171.97;140.97;121.92;68.06;56.44;46.49;17.63
7;178.91;147.91;133.74;74.35;61.69;47.40;18.19
8;184.66;153.66;141.05;81.14;67.30;50.96;18.71
9;185.24;154.24;151.21;87.11;72.25;53.02;18.87
10;187.39;156.39;153.32;93.04;77.17;56.99;19.39
11;230.39;199.39;171.51;93.66;82.52;60.24;19.71
12;239.83;208.83;179.34;106.04;87.18;69.78;19.99
13;244.46;213.46;187.66;111.38;92.41;71.12;20.37
14;244.93;213.93;195.60;117.81;97.73;75.36;20.87
15;246.28;215.28;203.48;122.36;101.51;78.63;21.61
16;273.13;242.13;209.01;126.36;104.81;84.29;21.98
17;275.82;244.82;217.80;134.93;109.85;85.09;22.60
18;276.11;245.11;222.30;139.56;113.64;88.27;23.69
19;276.35;245.35;227.00;145.27;118.28;91.49;24.81
20;276.84;245.84;235.76;149.24;123.79;95.29;25.79
21;286.31;255.31;243.51;157.19;127.97;95.68;26.09
22;293.71;262.71;256.37;161.59;131.58;101.71;26.81
23;306.22;275.22;265.07;166.21;135.33;104.67;27.31
24;317.33;286.33;265.94;172.67;140.58;108.60;28.77
25;318.45;287.45;269.32;178.63;145.41;112.34;29.32
26;333.04;302.04;286.30;184.44;150.18;116.00;30.52
27;334.50;303.50;288.50;190.98;155.49;122.24;31.02
28;348.86;317.86;296.73;195.48;159.19;122.90;32.84
29;350.30;319.30;298.46;200.16;162.98;126.09;32.86
30;353.11;322.11;301.24;206.72;168.30;130.02;34.15
31;367.49;336.49;315.55;211.35;172.08;135.92;34.59
32;368.93;337.93;320.00;212.44;176.24;136.51;34.60
33;391.53;360.53;330.71;221.08;180.00;140.26;36.22
34;393.80;362.80;339.87;224.60;186.30;143.66;37.49
35;394.21;363.21;345.37;225.41;189.99;147.27;38.39
36;401.54;370.54;349.41;233.67;193.89;147.79;39.34
37;414.08;383.08;358.98;234.52;198.90;154.07;40.21
38;421.06;390.06;371.05;234.83;202.92;157.72;41.18
39;426.26;395.26;373.87;239.78;206.96;161.18;42.45
40;426.78;395.78;378.07;259.91;211.63;162.64;42.46
41;436.90;405.90;384.59;261.93;215.51;168.44;43.97
42;443.11;412.11;394.47;270.31;220.06;172.77;44.11
43;454.16;423.16;401.73;274.83;223.73;175.97;46.36
44;465.73;434.73;413.23;279.69;227.72;179.60;47.19
45;470.03;439.03;421.50;283.60;230.88;183.53;47.20
46;482.02;451.02;433.52;287.90;233.24;190.09;48.10
47;483.79;452.79;434.73;291.92;233.54;190.76;48.44
48;487.06;456.06;434.94;296.23;233.83;197.08;50.19
49;487.39;456.39;439.08;296.67;234.09;197.72;50.20
50;489.60;458.60;441.13;302.00;234.54;198.09;50.24
51;533.77;502.77;477.59;312.82;243.39;205.48;50.48
52;543.62;512.62;487.34;313.93;256.78;206.22;50.51
53;553.71;522.71;503.79;314.66;258.67;217.68;51.01
54;554.73;523.73;505.44;329.11;259.28;221.73;51.10
55;556.02;525.02;506.66;330.57;259.87;225.00;51.11
56;570.43;539.43;521.16;331.45;260.62;229.08;51.12
57;571.88;540.88;522.61;347.68;275.33;232.60;52.65
58;572.40;541.40;523.12;349.31;276.82;236.25;52.67
59;580.55;549.55;531.30;349.99;277.43;239.22;52.70
60;581.38;550.38;532.13;363.27;285.16;239.84;54.56
61;597.32;566.32;548.08;364.62;285.95;247.97;54.69
62;604.35;573.35;549.68;365.33;286.55;251.38;56.23
63;605.17;574.17;555.97;379.50;292.47;255.32;56.26
64;621.28;590.28;572.10;380.93;293.07;258.73;56.27
65;627.71;596.71;578.56;381.48;300.85;261.44;56.28
66;646.30;615.30;597.19;387.24;301.64;262.06;56.29
67;648.17;617.17;599.06;387.86;302.23;262.69;56.40
68;655.79;624.79;606.69;388.52;302.83;272.74;57.68
69;657.54;626.54;608.44;389.15;304.15;273.76;58.09
70;658.07;627.07;608.99;389.78;329.94;280.68;60.89
71;659.20;628.20;610.10;390.41;332.54;283.06;60.90
72;680.30;649.30;622.76;391.06;333.13;286.99;60.92
73;682.42;651.42;632.86;391.67;338.61;288.22;61.82
74;682.95;651.95;633.88;392.32;339.20;288.85;61.84
75;684.00;653.00;634.96;393.59;346.04;290.13;62.32
76;689.58;658.58;640.55;400.10;348.53;291.37;63.27
77;710.65;679.65;661.65;420.87;349.73;292.64;63.56
78;723.07;692.07;676.80;423.71;366.49;293.89;64.24
79;724.32;693.32;678.32;455.84;368.18;295.17;65.25
80;727.05;696.05;680.92;459.07;369.38;296.41;66.80
81;781.47;750.47;732.86;460.17;370.57;297.80;67.25
82;786.92;755.92;738.06;469.54;371.75;320.12;68.97
83;787.99;756.99;739.13;470.82;372.96;323.57;68.98
84;789.06;758.06;740.21;472.09;374.15;324.85;69.65
85;790.13;759.13;741.28;481.88;389.44;336.61;70.77
86;792.87;761.87;744.03;483.59;390.98;337.88;72.10
87;796.27;765.27;747.43;511.95;392.18;339.14;72.11
88;797.94;766.94;749.10;514.81;393.38;339.94;74.44
89;831.14;800.14;771.37;516.07;394.55;340.74;74.68
90;835.82;804.82;775.98;517.33;395.76;341.54;76.87
91;836.84;805.84;787.93;518.62;396.95;344.16;76.88
92;837.87;806.87;789.13;519.89;398.14;345.44;77.62
93;838.90;807.90;790.16;521.16;399.33;346.71;77.63
94;839.93;808.93;791.20;522.45;400.52;347.96;78.63
95;845.74;814.74;793.54;523.72;401.74;349.22;79.70
96;851.19;820.19;802.47;524.99;408.83;350.48;80.58
97;857.94;826.94;803.37;526.20;410.02;351.75;81.88
98;860.23;829.23;805.68;527.33;411.22;352.99;82.83
99;901.91;870.91;851.87;530.29;435.16;367.22;83.88
100;907.00;876.00;858.00;586.00;458.00;406.00;84.33
101;916.07;884.76;866.58;591.86;462.58;410.06;85.13
102;925.14;893.52;875.16;597.72;467.16;414.12;85.14
103;934.21;902.28;883.74;603.58;471.74;418.18;85.64
104;943.28;911.04;892.32;609.44;476.32;422.24;85.74
105;952.35;919.80;900.90;615.30;480.90;426.30;88.34
106;961.42;928.56;909.48;621.16;485.48;430.36;88.35
107;970.49;937.32;918.06;627.02;490.06;434.42;89.30
108;979.56;946.08;926.64;632.88;494.64;438.48;89.31
109;988.63;954.84;935.22;638.74;499.22;442.54;91.04
110;997.70;963.60;943.80;644.60;503.80;446.60;92.79
111;1006.77;972.36;952.38;650.46;508.38;450.66;93.69
112;1015.84;981.12;960.96;656.32;512.96;454.72;93.70
113;1024.91;989.88;969.54;662.18;517.54;458.78;94.57
114;1033.98;998.64;978.12;668.04;522.12;462.84;96.41
115;1043.05;1007.40;986.70;673.90;526.70;466.90;97.58
116;1052.12;1016.16;995.28;679.76;531.28;470.96;97.59
117;1061.19;1024.92;1003.86;685.62;535.86;475.02;98.90
118;1070.26;1033.68;1012.44;691.48;540.44;479.08;99.19
119;1079.33;1042.44;1021.02;697.34;545.02;483.14;100.69
120;1088.40;1051.20;1029.60;703.20;549.60;487.20;101.38
121;1097.47;1059.96;1038.18;709.06;554.18;491.26;101.40
122;1106.54;1068.72;1046.76;714.92;558.76;495.32;102.31
123;1115.61;1077.48;1055.34;720.78;563.34;499.38;105.10
124;1124.68;1086.24;1063.92;726.64;567.92;503.44;105.11
125;1133.75;1095.00;1072.50;732.50;572.50;507.50;105.12
126;1142.82;1103.76;1081.08;738.36;577.08;511.56;105.13
127;1151.89;1112.52;1089.66;744.22;581.66;515.62;107.52
128;1160.96;1121.28;1098.24;750.08;586.24;519.68;107.54
129;1170.03;1130.04;1106.82;755.94;590.82;523.74;108.27
130;1179.10;1138.80;1115.40;761.80;595.40;527.80;108.28
131;1188.17;1147.56;1123.98;767.66;599.98;531.86;110.05
132;1197.24;1156.32;1132.56;773.52;604.56;535.92;110.78
133;1206.31;1165.08;1141.14;779.38;609.14;539.98;110.79
134;1215.38;1173.84;1149.72;785.24;613.72;544.04;112.78
135;1224.45;1182.60;1158.30;791.10;618.30;548.10;114.78
136;1233.52;1191.36;1166.88;796.96;622.88;552.16;115.78
137;1242.59;1200.12;1175.46;802.82;627.46;556.22;116.63
138;1251.66;1208.88;1184.04;808.68;632.04;560.28;117.59
139;1260.73;1217.64;1192.62;814.54;636.62;564.34;117.61
140;1269.80;1226.40;1201.20;820.40;641.20;568.40;119.45
141;1278.87;1235.16;1209.78;826.26;645.78;572.46;119.47
142;1287.94;1243.92;1218.36;832.12;650.36;576.52;121.38
143;1297.01;1252.68;1226.94;837.98;654.94;580.58;121.39
144;1306.08;1261.44;1235.52;843.84;659.52;584.64;125.19
145;1315.15;1270.20;1244.10;849.70;664.10;588.70;125.20
146;1324.22;1278.96;1252.68;855.56;668.68;592.76;125.21
147;1333.29;1287.72;1261.26;861.42;673.26;596.82;126.47
148;1342.36;1296.48;1269.84;867.28;677.84;600.88;126.48
149;1351.43;1305.24;1278.42;873.14;682.42;604.94;128.46
150;1360.50;1314.00;1287.00;879.00;687.00;609.00;130.29

Zone 6: Zone 6
Weight;FedEx First Overnight;FedEx Priority Overnight;FedEx Standard Overnight;FedEx 2Day A.M.;FedEx 2Day;FedEx Express Saver;Ground and Home Delivery
1;124.59;93.59;84.01;46.49;40.01;34.16;13.72
2;129.30;98.30;96.37;51.44;45.11;36.43;15.49
3;148.31;117.31;103.36;59.10;51.83;42.35;16.58
4;154.81;123.81;116.03;68.30;59.88;44.55;17.27
5;155.96;124.96;119.73;76.27;66.89;50.56;18.26
6;178.46;147.46;135.37;86.40;74.36;59.39;18.28
7;184.53;153.53;145.00;95.42;83.64;62.67;18.61
8;191.76;160.76;154.78;105.94;92.55;68.80;19.36
9;192.49;161.49;158.32;116.98;96.41;71.04;19.77
10;194.73;163.73;160.51;122.62;107.51;75.44;20.00
11;239.22;208.22;185.64;124.62;116.05;83.65;20.91
12;248.04;217.04;194.70;145.29;119.69;88.84;21.64
13;248.93;217.93;202.61;151.90;133.18;90.82;22.31
14;249.22;218.22;210.45;161.19;135.30;95.44;23.62
15;250.59;219.59;214.33;172.89;148.81;100.62;24.92
16;277.98;246.98;225.48;180.48;155.34;104.85;25.72
17;280.73;249.73;230.72;185.15;162.34;109.06;26.82
18;281.03;250.03;235.79;196.42;169.07;112.97;28.22
19;281.26;250.26;241.12;203.62;175.24;116.77;29.05
20;282.04;251.04;242.62;206.96;181.48;121.12;30.04
21;297.38;266.38;261.14;218.34;182.11;126.89;30.98
22;299.26;268.26;263.00;225.48;194.05;131.32;32.24
23;320.90;289.90;273.30;233.62;201.07;136.72;33.46
24;323.07;292.07;275.85;237.61;208.41;141.22;35.05
25;328.75;297.75;279.67;250.00;215.19;145.21;36.07
26;350.69;319.69;303.38;258.51;222.49;149.72;37.38
27;352.89;321.89;306.89;267.28;230.03;153.66;38.89
28;360.56;329.56;309.13;274.13;235.91;167.53;40.79
29;361.33;330.33;309.42;276.28;242.27;172.47;41.95
30;362.76;331.76;313.79;283.83;248.91;177.96;42.63
31;391.09;360.09;338.39;295.81;254.60;187.03;43.87
32;393.93;362.93;345.10;304.47;262.06;187.96;43.88
33;400.40;369.40;348.28;312.61;269.09;193.43;46.64
34;401.06;370.06;352.25;322.06;277.23;196.58;46.65
35;401.72;370.72;352.91;325.65;285.55;196.92;47.45
36;414.70;383.70;365.94;334.37;293.22;197.69;49.44
37;433.39;402.39;384.70;343.43;301.19;212.53;49.66
38;439.84;408.84;391.19;357.77;308.86;217.01;50.78
39;440.49;409.49;391.85;367.54;316.34;222.14;53.09
40;441.64;410.64;393.00;375.88;323.52;222.67;53.16
41;464.36;433.36;411.88;384.37;330.83;231.04;55.37
42;466.64;435.64;418.09;385.32;337.92;236.00;55.62
43;474.57;443.57;422.02;393.41;345.87;240.75;58.64
44;482.32;451.32;433.47;409.65;352.61;245.11;58.98
45;483.12;452.12;434.62;417.12;359.03;245.55;59.00
46;498.77;467.77;450.32;423.65;365.10;252.13;60.56
47;500.89;469.89;452.52;424.43;365.76;252.79;61.38
48;501.11;470.11;452.74;440.02;378.86;253.16;62.29
49;501.31;470.31;452.94;447.64;385.30;253.39;62.76
50;503.34;472.34;454.93;452.73;391.89;253.88;63.30
51;543.94;512.94;494.68;479.91;412.28;263.67;64.09
52;562.78;531.78;506.30;486.38;418.55;294.99;64.10
53;564.67;533.67;515.05;487.04;419.19;298.16;64.11
54;565.21;534.21;515.93;487.64;420.10;298.82;64.13
55;566.53;535.53;516.80;488.16;438.08;299.58;64.14
56;581.24;550.24;531.98;488.67;439.90;314.52;64.16
57;583.76;552.76;534.50;489.40;454.22;316.02;64.18
58;595.06;564.06;545.84;489.93;459.49;325.97;64.19
59;596.21;565.21;546.99;491.17;465.21;326.98;64.64
60;597.36;566.36;548.15;514.34;472.36;327.86;65.84
61;620.30;589.30;571.13;516.67;479.06;328.69;65.85
62;622.71;591.71;573.54;519.45;480.11;345.07;66.86
63;625.44;594.44;576.28;570.83;497.42;355.86;67.32
64;643.85;612.85;594.72;580.62;499.16;361.44;67.80
65;647.70;616.70;598.57;592.91;499.70;362.06;68.39
66;666.60;635.60;617.52;598.10;500.57;364.56;68.44
67;668.49;637.49;619.42;598.69;501.12;365.19;68.97
68;669.06;638.06;619.98;599.23;501.67;365.82;69.99
69;670.09;639.09;621.00;605.33;503.38;366.46;70.36
70;670.63;639.63;621.55;605.94;529.82;367.08;71.76
71;671.82;640.82;622.74;616.85;532.47;367.71;72.24
72;693.30;662.30;635.22;618.55;541.52;368.34;73.43
73;695.46;664.46;645.89;624.99;542.43;368.97;74.22
74;696.00;665.00;646.96;625.64;543.19;369.61;75.36
75;697.07;666.07;648.05;626.68;558.23;370.86;75.37
76;702.76;671.76;653.74;627.72;566.96;372.13;77.04
77;729.95;698.95;680.99;628.77;584.30;373.36;77.48
78;745.54;714.54;699.28;642.54;586.04;374.65;77.97
79;747.11;716.11;701.11;669.12;589.17;375.89;79.60
80;749.56;718.56;703.56;671.79;621.24;377.17;80.92
81;798.55;767.55;750.00;674.50;624.46;381.67;81.97
82;803.45;772.45;754.65;728.31;625.64;409.41;82.19
83;804.52;773.52;755.71;739.72;635.52;433.21;82.43
84;805.62;774.62;756.82;740.87;642.32;435.61;84.46
85;806.66;775.66;757.85;744.68;643.51;436.86;84.97
86;808.11;777.11;759.32;745.73;644.68;438.13;86.79
87;811.59;780.59;762.80;746.77;645.85;439.39;87.93
88;813.58;782.58;764.80;748.23;647.04;440.66;88.25
89;853.30;822.30;804.60;749.40;655.02;442.02;90.17
90;863.59;832.59;814.90;750.57;661.81;443.17;91.45
91;864.63;833.63;815.94;751.75;662.99;444.42;91.46
92;865.67;834.67;816.99;752.92;664.17;445.69;92.58
93;866.70;835.70;817.79;754.12;665.34;446.94;92.59
94;867.73;836.73;819.04;755.29;666.53;448.21;94.55
95;868.81;837.81;820.12;778.21;668.55;450.06;94.83
96;875.00;844.00;826.33;818.53;673.79;486.05;94.84
97;883.43;852.43;827.13;826.89;687.97;489.66;96.88
98;888.57;857.57;840.75;831.65;704.06;490.93;97.97
99;921.68;890.68;872.79;862.54;716.17;512.83;98.19
100;925.00;894.00;876.00;871.00;727.00;568.00;99.26
101;934.25;902.94;884.76;879.71;734.27;573.68;100.21
102;943.50;911.88;893.52;888.42;741.54;579.36;100.22
103;952.75;920.82;902.28;897.13;748.81;585.04;100.47
104;962.00;929.76;911.04;905.84;756.08;590.72;100.48
105;971.25;938.70;919.80;914.55;763.35;596.40;102.97
106;980.50;947.64;928.56;923.26;770.62;602.08;102.98
107;989.75;956.58;937.32;931.97;777.89;607.76;102.99
108;999.00;965.52;946.08;940.68;785.16;613.44;103.91
109;1008.25;974.46;954.84;949.39;792.43;619.12;104.81
110;1017.50;983.40;963.60;958.10;799.70;624.80;107.72
111;1026.75;992.34;972.36;966.81;806.97;630.48;107.73
112;1036.00;1001.28;981.12;975.52;814.24;636.16;108.58
113;1045.25;1010.22;989.88;984.23;821.51;641.84;108.59
114;1054.50;1019.16;998.64;992.94;828.78;647.52;111.47
115;1063.75;1028.10;1007.40;1001.65;836.05;653.20;111.49
116;1073.00;1037.04;1016.16;1010.36;843.32;658.88;113.12
117;1082.25;1045.98;1024.92;1019.07;850.59;664.56;113.13
118;1091.50;1054.92;1033.68;1027.78;857.86;670.24;113.96
119;1100.75;1063.86;1042.44;1036.49;865.13;675.92;113.97
120;1110.00;1072.80;1051.20;1045.20;872.40;681.60;115.96
121;1119.25;1081.74;1059.96;1053.91;879.67;687.28;116.70
122;1128.50;1090.68;1068.72;1062.62;886.94;692.96;117.61
123;1137.75;1099.62;1077.48;1071.33;894.21;698.64;118.53
124;1147.00;1108.56;1086.24;1080.04;901.48;704.32;119.31
125;1156.25;1117.50;1095.00;1088.75;908.75;710.00;119.32
126;1165.50;1126.44;1103.76;1097.46;916.02;715.68;120.03
127;1174.75;1135.38;1112.52;1106.17;923.29;721.36;122.76
128;1184.00;1144.32;1121.28;1114.88;930.56;727.04;122.77
129;1193.25;1153.26;1130.04;1123.59;937.83;732.72;122.78
130;1202.50;1162.20;1138.80;1132.30;945.10;738.40;123.67
131;1211.75;1171.14;1147.56;1141.01;952.37;744.08;125.49
132;1221.00;1180.08;1156.32;1149.72;959.64;749.76;125.50
133;1230.25;1189.02;1165.08;1158.43;966.91;755.44;126.15
134;1239.50;1197.96;1173.84;1167.14;974.18;761.12;128.33
135;1248.75;1206.90;1182.60;1175.85;981.45;766.80;129.91
136;1258.00;1215.84;1191.36;1184.56;988.72;772.48;129.92
137;1267.25;1224.78;1200.12;1193.27;995.99;778.16;129.93
138;1276.50;1233.72;1208.88;1201.98;1003.26;783.84;132.59
139;1285.75;1242.66;1217.64;1210.69;1010.53;789.52;132.61
140;1295.00;1251.60;1226.40;1219.40;1017.80;795.20;134.03
141;1304.25;1260.54;1235.16;1228.11;1025.07;800.88;134.04
142;1313.50;1269.48;1243.92;1236.82;1032.34;806.56;136.04
143;1322.75;1278.42;1252.68;1245.53;1039.61;812.24;136.05
144;1332.00;1287.36;1261.44;1254.24;1046.88;817.92;139.67
145;1341.25;1296.30;1270.20;1262.95;1054.15;823.60;141.75
146;1350.50;1305.24;1278.96;1271.66;1061.42;829.28;141.76
147;1359.75;1314.18;1287.72;1280.37;1068.69;834.96;142.78
148;1369.00;1323.12;1296.48;1289.08;1075.96;840.64;142.79
149;1378.25;1332.06;1305.24;1297.79;1083.23;846.32;143.26
150;1387.50;1341.00;1314.00;1306.50;1090.50;852.00;143.27

Zone 7: Zone 7
Weight;FedEx First Overnight;FedEx Priority Overnight;FedEx Standard Overnight;FedEx 2Day A.M.;FedEx 2Day;FedEx Express Saver;Ground and Home Delivery
1;134.80;103.80;91.30;49.62;42.67;35.90;13.93
2;141.68;110.68;104.58;57.18;50.07;40.00;16.13
3;159.81;128.81;114.01;66.21;58.00;44.76;17.20
4;170.90;139.90;124.08;77.04;66.24;51.17;18.47
5;172.84;141.84;128.00;85.81;73.79;56.49;19.33
6;193.69;162.69;141.65;95.28;82.01;62.75;19.34
7;200.81;169.81;153.76;105.85;88.65;71.00;19.86
8;210.84;179.84;163.11;116.64;100.29;77.72;20.66
9;211.85;180.85;174.94;125.56;109.98;85.29;21.52
10;213.60;182.60;176.13;136.58;119.63;91.78;22.54
11;248.53;217.53;198.60;141.06;128.23;98.42;24.66
12;253.10;222.10;209.41;159.94;132.09;104.65;25.65
13;272.81;241.81;220.50;164.66;144.23;105.29;27.22
14;274.79;243.79;230.12;174.76;149.91;110.68;29.16
15;276.05;245.05;237.74;181.08;158.49;120.92;30.07
16;300.84;269.84;241.63;188.75;166.61;127.23;31.66
17;303.32;272.32;247.11;204.10;174.61;127.87;33.28
18;303.58;272.58;252.43;209.13;175.43;139.67;34.27
19;303.83;272.83;258.08;222.93;191.69;143.46;35.31
20;304.63;273.63;266.38;225.73;198.27;143.95;36.62
21;320.29;289.29;276.19;234.43;205.08;153.43;37.64
22;334.57;303.57;295.93;243.07;212.92;154.39;39.03
23;351.17;320.17;299.15;255.74;219.91;167.17;39.97
24;357.63;326.63;303.06;265.74;222.90;168.46;41.31
25;358.47;327.47;306.58;270.10;236.57;178.77;43.59
26;366.66;335.66;317.73;284.55;244.70;184.94;45.37
27;368.90;337.90;322.90;289.54;252.92;191.43;46.21
28;382.52;351.52;330.49;293.19;259.45;197.28;48.28
29;392.64;361.64;340.56;298.69;265.94;203.15;49.38
30;394.20;363.20;342.10;302.54;273.13;203.75;49.63
31;406.63;375.63;354.46;318.24;279.04;209.09;51.47
32;408.44;377.44;356.26;319.83;286.79;210.59;51.48
33;430.63;399.63;375.00;328.34;293.39;216.04;53.18
34;439.07;408.07;386.82;349.63;300.68;221.12;54.77
35;442.88;411.88;394.22;351.87;307.30;226.70;56.18
36;448.93;417.93;396.53;362.37;315.22;231.35;58.09
37;462.69;431.69;409.64;363.43;326.43;236.00;59.97
38;464.08;433.08;415.51;364.93;334.91;240.73;60.20
39;464.88;433.88;418.88;390.47;343.82;253.34;62.57
40;476.08;445.08;423.54;397.42;352.25;254.62;62.58
41;482.39;451.39;429.81;420.31;361.44;254.91;64.51
42;484.08;453.08;431.48;430.68;370.35;260.27;65.61
43;506.16;475.16;453.44;436.03;377.22;266.07;67.99
44;513.87;482.87;461.09;437.09;383.63;271.74;70.10
45;521.69;490.69;473.22;450.02;390.81;277.41;71.47
46;527.28;496.28;474.44;459.27;397.12;287.64;72.24
47;528.73;497.73;480.41;460.20;397.77;288.68;73.64
48;537.79;506.79;484.88;461.66;407.38;308.67;74.32
49;538.70;507.70;490.32;472.62;408.35;311.73;75.81
50;492.53;481.84;540.79;509.79;409.01;312.33;76.47
51;582.56;551.56;536.56;508.26;422.06;316.03;77.42
52;548.33;517.15;607.68;576.68;452.17;316.60;77.44
53;624.50;593.50;552.32;524.75;456.79;317.26;77.45
54;626.19;595.19;564.72;525.51;457.36;330.34;77.46
55;637.13;606.13;580.94;536.34;457.93;331.66;77.47
56;638.23;607.23;589.07;538.17;458.49;333.22;77.49
57;639.02;608.02;589.89;538.66;467.75;364.24;77.51
58;640.67;609.67;591.53;545.26;468.69;367.36;77.52
59;642.37;611.37;593.23;558.24;474.52;373.12;77.53
60;645.23;614.23;597.26;574.94;485.05;373.76;77.81
61;696.40;665.40;647.38;580.45;489.03;385.90;77.82
62;705.92;674.92;649.40;586.26;489.94;392.54;79.01
63;715.53;684.53;666.56;593.32;507.39;398.84;79.66
64;727.91;696.91;678.95;617.16;509.15;405.14;79.67
65;738.70;707.70;680.19;640.66;509.70;411.41;79.86
66;739.80;708.80;681.16;643.02;510.59;417.01;80.11
67;740.32;709.32;709.32;651.74;511.15;417.67;80.50
68;740.83;709.83;691.89;657.54;511.71;418.28;81.72
69;741.34;710.34;692.29;659.31;513.46;419.20;81.73
70;742.85;711.85;693.32;660.15;546.71;437.11;81.74
71;772.91;741.91;713.84;661.21;552.16;447.95;83.07
72;805.20;774.20;742.86;682.24;552.71;452.81;86.61
73;808.44;777.44;758.58;684.35;553.28;453.42;86.76
74;808.95;777.95;760.16;692.26;554.06;454.06;86.77
75;810.00;779.00;761.19;701.35;569.40;455.33;87.65
76;830.56;799.56;770.80;705.02;578.30;466.90;89.07
77;832.64;801.64;783.63;706.08;596.11;468.16;91.61
78;833.68;802.68;784.92;707.45;606.79;469.46;92.29
79;836.01;805.01;788.81;734.77;642.79;470.71;93.72
80;837.65;806.65;790.83;767.41;646.39;471.98;95.01
81;870.27;821.77;839.27;773.18;648.37;474.08;95.58
82;873.54;842.54;824.87;775.01;649.49;514.35;98.06
83;874.63;843.63;825.96;795.67;650.60;518.39;98.07
84;891.85;860.85;843.22;797.75;661.58;519.65;99.24
85;893.59;862.59;844.95;799.13;662.70;520.93;100.31
86;894.63;863.63;846.00;800.18;663.74;522.19;103.14
87;895.95;864.95;847.32;801.21;668.22;526.50;103.22
88;899.25;868.25;850.63;807.98;673.40;527.65;103.33
89;965.16;934.16;915.84;809.77;674.50;528.93;104.39
90;1001.13;970.13;940.80;830.03;675.64;530.33;106.81
91;1004.74;973.74;943.30;849.40;676.77;531.48;106.82
92;1005.78;974.78;944.10;866.67;677.88;532.73;106.84
93;1007.04;976.04;944.90;868.41;678.99;534.00;106.85
94;1008.19;977.19;946.49;869.60;680.12;535.29;106.87
95;1009.25;978.25;947.29;870.78;686.16;536.56;107.24
96;1010.27;979.27;948.51;876.17;687.27;537.81;107.25
97;1011.29;980.29;949.31;878.70;701.73;539.11;108.79
98;1013.63;982.63;952.16;902.92;718.15;540.93;108.80
99;1060.29;1029.29;1009.10;905.94;750.47;577.27;109.89
100;1052.00;947.00;1126.00;1095.00;830.00;639.00;109.97
101;1137.26;1105.95;1062.52;956.47;838.30;645.39;111.01
102;1148.52;1116.90;1073.04;965.94;846.60;651.78;111.02
103;1159.78;1127.85;1083.56;975.41;854.90;658.17;111.03
104;1171.04;1138.80;1094.08;984.88;863.20;664.56;111.04
105;1182.30;1149.75;1104.60;994.35;871.50;670.95;113.62
106;1193.56;1160.70;1115.12;1003.82;879.80;677.34;113.63
107;1204.82;1171.65;1125.64;1013.29;888.10;683.73;114.48
108;1216.08;1182.60;1136.16;1022.76;896.40;690.12;114.49
109;1227.34;1193.55;1146.68;1032.23;904.70;696.51;116.54
110;1238.60;1204.50;1157.20;1041.70;913.00;702.90;118.72
111;1249.86;1215.45;1167.72;1051.17;921.30;709.29;119.57
112;1261.12;1226.40;1178.24;1060.64;929.60;715.68;119.58
113;1272.38;1237.35;1188.76;1070.11;937.90;722.07;119.59
114;1283.64;1248.30;1199.28;1079.58;946.20;728.46;122.58
115;1294.90;1259.25;1209.80;1089.05;954.50;734.85;123.75
116;1306.16;1270.20;1220.32;1098.52;962.80;741.24;125.30
117;1317.42;1281.15;1230.84;1107.99;971.10;747.63;125.31
118;1328.68;1292.10;1241.36;1117.46;979.40;754.02;125.32
119;1339.94;1303.05;1251.88;1126.93;987.70;760.41;126.30
120;1351.20;1314.00;1262.40;1136.40;996.00;766.80;127.96
121;1362.46;1324.95;1272.92;1145.87;1004.30;773.19;127.98
122;1373.72;1335.90;1283.44;1155.34;1012.60;779.58;129.99
123;1384.98;1346.85;1293.96;1164.81;1020.90;785.97;132.38
124;1396.24;1357.80;1304.48;1174.28;1029.20;792.36;132.39
125;1407.50;1368.75;1315.00;1183.75;1037.50;798.75;132.40
126;1418.76;1379.70;1325.52;1193.22;1045.80;805.14;132.41
127;1430.02;1390.65;1336.04;1202.69;1054.10;811.53;134.80
128;1441.28;1401.60;1346.56;1212.16;1062.40;817.92;134.81
129;1452.54;1412.55;1357.08;1221.63;1070.70;824.31;134.83
130;1463.80;1423.50;1367.60;1231.10;1079.00;830.70;136.58
131;1475.06;1434.45;1378.12;1240.57;1087.30;837.09;137.87
132;1486.32;1445.40;1388.64;1250.04;1095.60;843.48;137.88
133;1497.58;1456.35;1399.16;1259.51;1103.90;849.87;137.89
134;1508.84;1467.30;1409.68;1268.98;1112.20;856.26;140.15
135;1520.10;1478.25;1420.20;1278.45;1120.50;862.65;140.89
136;1531.36;1489.20;1430.72;1287.92;1128.80;869.04;143.08
137;1542.62;1500.15;1441.24;1297.39;1137.10;875.43;143.09
138;1553.88;1511.10;1451.76;1306.86;1145.40;881.82;144.30
139;1565.14;1522.05;1462.28;1316.33;1153.70;888.21;146.99
